palabra,sentimiento,emocion
ansiedad,negativo,enfado
ansioso,negativo,anticipacion
aorta,neutro,neutro
rápidamente,neutro,neutro
apache,negativo,miedo
Departamento,neutro,neutro
apático,negativo,tristeza
apatía,negativo,tristeza
mono,neutro,neutro
abertura,neutro,neutro
apéndice,neutro,neutro
áfido,negativo,disgusto
una pieza,neutro,neutro
aplomo,positivo,neutro
apocalíptico,neutro,neutro
apologético,positivo,confianza
apologista,neutro,neutro
disculparse,positivo,tristeza
disculpa,positivo,neutro
apostasía,neutro,neutro
apóstata,neutro,neutro
apóstol,positivo,confianza
apostólico,neutro,confianza
apóstrofe,neutro,neutro
pésimo,negativo,disgusto
aparato,neutro,neutro
vestir,neutro,neutro
aparentemente,neutro,neutro
aparición,neutro,miedo
apelación,neutro,anticipacion
apariencia,neutro,neutro
apaciguar,neutro,neutro
apelante,neutro,neutro
adjuntar,neutro,neutro
apéndice,neutro,neutro
apendicitis,negativo,miedo
apéndice,neutro,neutro
apetito,neutro,neutro
aperitivo,neutro,neutro
aplausos,positivo,alegria
manzana,neutro,neutro
aparato,neutro,neutro
accesorios,neutro,neutro
aplicabilidad,neutro,neutro
aplicable,neutro,neutro
solicitante,neutro,anticipacion
solicitud,neutro,neutro
aplicar,neutro,neutro
nombrar,neutro,neutro
cita,neutro,neutro
equipo,neutro,neutro
prorratear,neutro,neutro
prorrateo,neutro,neutro
evaluar,neutro,neutro
apreciable,neutro,neutro
apreciación,positivo,alegria
aprehender,neutro,miedo
detención,negativo,miedo
aprensivo,negativo,anticipacion
aprendiz,neutro,confianza
aprendizaje,neutro,neutro
Acercarse,neutro,neutro
que se acerca,neutro,anticipacion
aprobación,positivo,confianza
apropiación,negativo,neutro
aprobación,positivo,neutro
aprobar,positivo,alegria
aprobatorio,positivo,neutro
aproximado,neutro,neutro
aproximadamente,neutro,neutro
aproximando,neutro,neutro
aproximación,neutro,neutro
anexidades,neutro,neutro
delantal,neutro,neutro
apto,positivo,neutro
aptitud,positivo,neutro
agua,neutro,neutro
aguamarina,neutro,neutro
acuario,neutro,neutro
acuático,neutro,neutro
acueducto,neutro,neutro
acuoso,neutro,neutro
cultivable,neutro,neutro
árbitro,neutro,confianza
arbitrar,neutro,neutro
arbitraje,neutro,anticipacion
árbitro,neutro,confianza
cenador,neutro,neutro
arco,neutro,neutro
arcada,neutro,neutro
arco,neutro,neutro
arqueológico,neutro,neutro
arqueólogo,neutro,neutro
arqueología,positivo,anticipacion
arcaico,negativo,neutro
arzobispo,neutro,neutro
arqueado,neutro,neutro
arquero,neutro,neutro
tiro al arco,neutro,neutro
arquetipo,neutro,neutro
archipiélago,neutro,neutro
arquitecto,neutro,neutro
arquitectura,neutro,confianza
archivo,neutro,neutro
ártico,neutro,neutro
ardiente,positivo,anticipacion
ardor,positivo,neutro
arduo,negativo,neutro
área,neutro,neutro
arena,neutro,neutro
areola,neutro,neutro
argén,neutro,neutro
discutir,negativo,enfado
argumento,negativo,enfado
argumentación,neutro,enfado
discutidor,negativo,neutro
argumentos,neutro,enfado
árido,negativo,tristeza
aristocracia,positivo,neutro
aristócrata,neutro,neutro
aristocrático,positivo,neutro
aritmética,neutro,neutro
arca,neutro,neutro
brazo,neutro,neutro
armada,neutro,neutro
armamento,neutro,enfado
armamento,negativo,miedo
armadura,neutro,neutro
armado,negativo,enfado
armadura,positivo,miedo
blindado,neutro,miedo
arsenal,neutro,confianza
brazos,neutro,neutro
ejército,neutro,neutro
aroma,positivo,neutro
excitación,neutro,neutro
despertar,positivo,anticipacion
acusación,negativo,enfado
arreglar,neutro,neutro
organizado,neutro,neutro
arreglo,neutro,neutro
formación,positivo,neutro
atrasos,negativo,neutro
arrestar,negativo,neutro
llegada,neutro,anticipacion
llegar,neutro,anticipacion
arrogancia,negativo,neutro
arrogante,negativo,enfado
flecha,neutro,neutro
arsenal,neutro,neutro
arsénico,negativo,disgusto
incendio provocado,negativo,enfado
Arte,positivo,anticipacion
artería,neutro,neutro
ingenioso,neutro,neutro
artrópodo,neutro,neutro
alcachofa,neutro,neutro
artículo,neutro,neutro
artículos,neutro,neutro
articular,positivo,neutro
articulación,positivo,neutro
artificio,neutro,neutro
artillería,negativo,miedo
artesano,positivo,neutro
artista,neutro,neutro
artista,positivo,neutro
artístico,positivo,neutro
artistas,neutro,neutro
ascender,neutro,neutro
ascendencia,positivo,neutro
ascensión,neutro,neutro
ascenso,positivo,neutro
cerciorarse,neutro,neutro
averiguado,neutro,neutro
ascético,neutro,neutro
ceniza,negativo,neutro
avergonzado,negativo,disgusto
cenizas,negativo,tristeza
dormido,neutro,neutro
áspid,neutro,miedo
aspartamo,neutro,neutro
aspecto,neutro,neutro
aspectos,neutro,neutro
asfalto,neutro,neutro
aspiración,positivo,anticipacion
aspirar,positivo,anticipacion
ambicioso,positivo,anticipacion
culo,negativo,neutro
atacar,negativo,enfado
agresor,negativo,enfado
asesino,negativo,enfado
asesinar,negativo,enfado
asesinato,negativo,enfado
agresión,negativo,enfado
ensayo,neutro,neutro
conjunto,neutro,neutro
armar,neutro,neutro
ensamblado,neutro,neutro
asamblea,positivo,confianza
asentir,positivo,neutro
afirmar,neutro,neutro
afirmando,positivo,confianza
afirmación,neutro,neutro
evaluar,neutro,neutro
evaluación,neutro,sorpresa
asesor,neutro,confianza
activos,positivo,neutro
Estúpido,negativo,enfado
asignar,neutro,neutro
cesionario,neutro,confianza
asignación,neutro,neutro
asimilar,neutro,neutro
asimilación,neutro,neutro
asistir,positivo,confianza
asistencia,positivo,neutro
asistente,neutro,neutro
asociado,positivo,confianza
asociación,neutro,confianza
clasificado,neutro,neutro
surtido,neutro,neutro
calmar,positivo,neutro
ficticio,neutro,neutro
asumiendo,neutro,neutro
suposición,neutro,neutro
garantía,positivo,confianza
asegurar,neutro,confianza
seguro,positivo,confianza
ciertamente,neutro,confianza
asterisco,neutro,neutro
asteroides,neutro,neutro
astigmatismo,neutro,neutro
asombrosamente,positivo,sorpresa
asombro,positivo,alegria
astral,neutro,neutro
por mal camino,negativo,miedo
astringente,negativo,neutro
astrólogo,positivo,anticipacion
astrología,neutro,neutro
astronauta,positivo,neutro
astrónomo,positivo,anticipacion
astronomía,neutro,neutro
astuto,positivo,neutro
en pedazos,neutro,neutro
asilo,negativo,miedo
asimétrico,neutro,neutro
asimetría,neutro,disgusto
asintótico,neutro,neutro
taller,neutro,neutro
ateísmo,negativo,neutro
ateo,neutro,neutro
aterosclerosis,negativo,miedo
atleta,positivo,neutro
atlético,positivo,neutro
atletismo,neutro,neutro
atletismo,neutro,neutro
atlas,neutro,neutro
atmósfera,neutro,neutro
atmosférico,neutro,neutro
atolón,neutro,neutro
átomo,positivo,neutro
atómico,neutro,neutro
expiar,positivo,anticipacion
expiación,positivo,neutro
atrio,neutro,neutro
atroz,negativo,enfado
atrocidad,negativo,enfado
atrofia,negativo,disgusto
adjuntar,neutro,neutro
archivo adjunto,positivo,neutro
ataque,negativo,enfado
agresor,negativo,enfado
alcanzar,neutro,neutro
alcanzable,positivo,anticipacion
logro,positivo,neutro
intentar,neutro,anticipacion
asistencia,neutro,anticipacion
asistente,positivo,confianza
atención,positivo,neutro
atento,positivo,confianza
atenuar,neutro,neutro
atenuado,negativo,neutro
atenuación,negativo,tristeza
dar fe,positivo,confianza
atestación,neutro,confianza
ático,neutro,neutro
atuendo,neutro,neutro
actitud,neutro,neutro
abogado,positivo,enfado
atracción,positivo,neutro
atractivo,positivo,neutro
atribuible,neutro,neutro
atributo,neutro,neutro
atribución,neutro,neutro
desgaste,neutro,neutro
castaño,neutro,neutro
subasta,neutro,anticipacion
subastador,neutro,neutro
audaz,neutro,neutro
audacia,negativo,neutro
audible,neutro,neutro
audiencia,neutro,anticipacion
auditoría,neutro,neutro
audición,neutro,neutro
auditor,neutro,miedo
sala,neutro,neutro
auditivo,neutro,neutro
algo,neutro,neutro
aumentar,positivo,neutro
aumento,neutro,neutro
agosto,positivo,neutro
tía,positivo,confianza
aura,positivo,neutro
Aurora,neutro,neutro
auspicios,neutro,neutro
propicio,positivo,anticipacion
austero,negativo,miedo
austeridad,negativo,neutro
auténtico,positivo,alegria
autenticar,neutro,confianza
autenticación,neutro,confianza
autenticidad,positivo,confianza
autor,positivo,confianza
autoritario,positivo,confianza
autoridad,positivo,confianza
autorización,positivo,confianza
autorizar,neutro,confianza
autorizado,positivo,neutro
paternidad literaria,neutro,neutro
auto,neutro,neutro
autobiografía,neutro,neutro
autocrático,negativo,neutro
autógrafo,neutro,neutro
automático,neutro,confianza
automóvil,neutro,neutro
autonomía,neutro,neutro
autopsia,negativo,disgusto
otoño,neutro,neutro
auxiliar,neutro,neutro
aprovechar,neutro,neutro
avalancha,negativo,miedo
avaricia,negativo,enfado
avatar,positivo,neutro
vengador,negativo,enfado
avenida,neutro,neutro
afirmar,neutro,neutro
promedio,neutro,neutro
contrario,negativo,enfado
aversión,negativo,enfado
evitar,neutro,neutro
pajarera,neutro,neutro
aviación,neutro,neutro
aviador,neutro,neutro
ávido,neutro,neutro
palta,neutro,neutro
evitar,negativo,miedo
evitación,negativo,miedo
evitando,neutro,miedo
esperar,neutro,anticipacion
despierto,neutro,neutro
despertar,neutro,neutro
otorgar,positivo,anticipacion
temor,neutro,neutro
horrible,negativo,enfado
torpeza,negativo,disgusto
toldo,neutro,neutro
torcido,negativo,neutro
axial,neutro,neutro
axioma,neutro,confianza
axiomático,neutro,confianza
eje,neutro,neutro
eje,neutro,neutro
sí,positivo,neutro
sí,positivo,neutro
azimut,neutro,neutro
azur,neutro,neutro
balbucear,negativo,neutro
balbuceo,negativo,neutro
babuino,negativo,disgusto
bebé,positivo,alegria
niñera,neutro,confianza
bachillerato,positivo,neutro
bacará,neutro,neutro
soltero,neutro,neutro
espalda,neutro,neutro
columna vertebral,positivo,enfado
partidario,neutro,confianza
petardeo,neutro,neutro
chaquete,neutro,neutro
antecedentes,neutro,neutro
retroexcavadora,neutro,neutro
mochilero,neutro,neutro
retractarse,neutro,neutro
hacia atrás,negativo,neutro
hacia atrás,negativo,disgusto
remanso,negativo,tristeza
bacterias,negativo,disgusto
bacteria,negativo,disgusto
malo,negativo,enfado
Insignia,neutro,confianza
tejón,negativo,enfado
gravemente,negativo,tristeza
maldad,negativo,enfado
deflector,neutro,neutro
bolsa,neutro,neutro
equipaje,neutro,neutro
holgado,neutro,neutro
gaita,neutro,neutro
fianza,neutro,neutro
alguacil,negativo,miedo
carnada,negativo,miedo
hornear,neutro,neutro
panadería,neutro,neutro
horneando,neutro,neutro
bola,neutro,neutro
balance,positivo,neutro
equilibrado,positivo,neutro
balcón,neutro,neutro
calvo,neutro,neutro
bala,negativo,miedo
obstáculo,negativo,neutro
pelota,neutro,neutro
balada,positivo,neutro
lastre,neutro,neutro
ballet,positivo,neutro
globo,neutro,neutro
votación,positivo,anticipacion
salón de baile,neutro,neutro
bálsamo,negativo,anticipacion
balsámico,neutro,neutro
bálsamo,positivo,neutro
balsámico,neutro,neutro
prohibición,negativo,neutro
plátano,neutro,neutro
banda,neutro,neutro
vendaje,neutro,neutro
bandido,negativo,neutro
carro,neutro,neutro
perdición,negativo,enfado
estallido,negativo,enfado
petardo,negativo,enfado
desterrar,negativo,enfado
alejado,negativo,enfado
destierro,negativo,enfado
banjo,neutro,neutro
banco,neutro,confianza
banquero,neutro,confianza
arruinado,negativo,miedo
bancarrota,negativo,enfado
bandera,neutro,neutro
banquete,positivo,anticipacion
alma en pena,negativo,enfado
broma,neutro,neutro
bautismo,positivo,neutro
bautismal,positivo,alegria
bar,neutro,neutro
lengüeta,negativo,enfado
bárbaro,negativo,miedo
bárbaro,negativo,enfado
barbarie,negativo,neutro
parilla,neutro,neutro
mordaz,neutro,neutro
bardo,positivo,neutro
a pelo,neutro,neutro
descalzo,neutro,neutro
apenas,neutro,neutro
vomitar,neutro,disgusto
negociar,positivo,confianza
barcaza,neutro,neutro
barítono,neutro,neutro
ladrar,negativo,enfado
granero,neutro,neutro
barney,neutro,neutro
barómetro,neutro,neutro
barón,neutro,neutro
barroco,neutro,neutro
barraca,neutro,neutro
prohibido,negativo,neutro
barril,neutro,neutro
estéril,negativo,tristeza
barricada,negativo,miedo
barrera,negativo,enfado
excepto,neutro,neutro
abogado,neutro,neutro
carretilla,neutro,disgusto
barman,neutro,confianza
permuta,neutro,confianza
base,neutro,confianza
béisbol,neutro,neutro
zócalo,neutro,neutro
infundado,negativo,neutro
sótano,neutro,neutro
basílica,neutro,neutro
cuenca,neutro,neutro
base,neutro,neutro
disfrutar,neutro,neutro
cesta,neutro,neutro
baloncesto,positivo,anticipacion
bajo,neutro,neutro
bajo,neutro,neutro
fagot,neutro,neutro
bastardo,negativo,disgusto
